Rank,Major,Degree Type,Early Career Pay,Mid-Career Pay,% High Meaning
Rank:96,Major:Managerial Economics,Degree Type:Bachelors,"Early Career Pay:$61,500","Mid-Career Pay:$109,100",% High Meaning:41%
Rank:97,Major:Automotive Engineering,Degree Type:Bachelors,"Early Career Pay:$60,500","Mid-Career Pay:$108,700",% High Meaning:-
Rank:97,Major:Business & Information Technology (IT),Degree Type:Bachelors,"Early Career Pay:$58,200","Mid-Career Pay:$108,700",% High Meaning:46%
Rank:97,Major:Japanese Language,Degree Type:Bachelors,"Early Career Pay:$50,000","Mid-Career Pay:$108,700",% High Meaning:41%
Rank:100,Major:Japanese Studies,Degree Type:Bachelors,"Early Career Pay:$49,200","Mid-Career Pay:$108,500",% High Meaning:22%
Rank:101,Major:Finance & Economics,Degree Type:Bachelors,"Early Career Pay:$59,800","Mid-Career Pay:$108,100",% High Meaning:42%
Rank:102,Major:Management Information Systems (MIS),Degree Type:Bachelors,"Early Career Pay:$61,200","Mid-Career Pay:$107,800",% High Meaning:43%
Rank:103,Major:Pharmaceutical Sciences (PS),Degree Type:Bachelors,"Early Career Pay:$50,200","Mid-Career Pay:$107,700",% High Meaning:69%
Rank:104,Major:Mechanical,Degree Type:Bachelors,"Early Career Pay:$66,800","Mid-Career Pay:$107,600",% High Meaning:55%
Rank:105,Major:Applied Physics,Degree Type:Bachelors,"Early Career Pay:$63,800","Mid-Career Pay:$107,500",% High Meaning:56%
Rank:105,Major:Information Management,Degree Type:Bachelors,"Early Career Pay:$61,300","Mid-Career Pay:$107,500",% High Meaning:42%
Rank:107,Major:Aeronautical Science & Engineering,Degree Type:Bachelors,"Early Career Pay:$54,300","Mid-Career Pay:$107,100",% High Meaning:63%
Rank:108,Major:Construction Project Management,Degree Type:Bachelors,"Early Career Pay:$57,400","Mid-Career Pay:$107,000",% High Meaning:59%
Rank:108,Major:Packaging Science,Degree Type:Bachelors,"Early Career Pay:$66,800","Mid-Career Pay:$107,000",% High Meaning:37%
Rank:110,Major:Industrial Engineering & Management,Degree Type:Bachelors,"Early Career Pay:$63,200","Mid-Career Pay:$106,900",% High Meaning:57%
Rank:111,Major:Asian Studies,Degree Type:Bachelors,"Early Career Pay:$44,000","Mid-Career Pay:$106,400",% High Meaning:39%
Rank:111,Major:Management Science,Degree Type:Bachelors,"Early Career Pay:$60,500","Mid-Career Pay:$106,400",% High Meaning:41%
Rank:113,Major:Accounting & Taxation,Degree Type:Bachelors,"Early Career Pay:$53,300","Mid-Career Pay:$105,700",% High Meaning:43%
Rank:114,Major:Manufacturing Engineering,Degree Type:Bachelors,"Early Career Pay:$65,800","Mid-Career Pay:$105,600",% High Meaning:48%
Rank:115,Major:Astrophysics,Degree Type:Bachelors,"Early Career Pay:$64,100","Mid-Career Pay:$105,400",% High Meaning:65%
Rank:116,Major:Engineering Management,Degree Type:Bachelors,"Early Career Pay:$65,800","Mid-Career Pay:$105,200",% High Meaning:55%
Rank:117,Major:Business Economics,Degree Type:Bachelors,"Early Career Pay:$54,900","Mid-Career Pay:$105,100",% High Meaning:42%
Rank:117,Major:Information Sciences and Technology,Degree Type:Bachelors,"Early Career Pay:$60,700","Mid-Career Pay:$105,100",% High Meaning:40%
Rank:119,Major:Information Systems Management,Degree Type:Bachelors,"Early Career Pay:$57,600","Mid-Career Pay:$104,800",% High Meaning:44%
Rank:120,Major:Finance & Investments,Degree Type:Bachelors,"Early Career Pay:$60,500","Mid-Career Pay:$104,400",% High Meaning:41%
Rank:121,Major:Environmental Health & Safety Management,Degree Type:Bachelors,"Early Career Pay:$58,300","Mid-Career Pay:$104,200",% High Meaning:64%
Rank:121,Major:Rhetoric,Degree Type:Bachelors,"Early Career Pay:$49,400","Mid-Career Pay:$104,200",% High Meaning:46%
Rank:121,Major:Strategic Management,Degree Type:Bachelors,"Early Career Pay:$62,800","Mid-Career Pay:$104,200",% High Meaning:45%
Rank:124,Major:Robotics & Automation,Degree Type:Bachelors,"Early Career Pay:$66,500","Mid-Career Pay:$104,100",% High Meaning:-
Rank:125,Major:Building Construction (BC),Degree Type:Bachelors,"Early Career Pay:$63,600","Mid-Career Pay:$104,000",% High Meaning:52%
Rank:126,Major:Accounting & Computer Systems,Degree Type:Bachelors,"Early Career Pay:$60,200","Mid-Career Pay:$103,800",% High Meaning:42%
Rank:126,Major:Construction Science,Degree Type:Bachelors,"Early Career Pay:$64,000","Mid-Career Pay:$103,800",% High Meaning:63%
Rank:128,Major:Polymer Science & Engineering,Degree Type:Bachelors,"Early Career Pay:$69,200","Mid-Career Pay:$103,700",% High Meaning:27%
Rank:129,Major:Computing,Degree Type:Bachelors,"Early Career Pay:$59,800","Mid-Career Pay:$103,500",% High Meaning:50%
Rank:129,Major:Information Security & Assurance,Degree Type:Bachelors,"Early Career Pay:$60,600","Mid-Career Pay:$103,500",% High Meaning:41%
Rank:129,Major:Civil Engineering (CE),Degree Type:Bachelors,"Early Career Pay:$61,700","Mid-Career Pay:$103,500",% High Meaning:65%
Rank:132,Major:Mathematics,Degree Type:Bachelors,"Early Career Pay:$59,600","Mid-Career Pay:$103,400",% High Meaning:45%
Rank:132,Major:Government,Degree Type:Bachelors,"Early Career Pay:$52,200","Mid-Career Pay:$103,400",% High Meaning:49%
Rank:134,Major:Biochemistry & Molecular Biology,Degree Type:Bachelors,"Early Career Pay:$50,500","Mid-Career Pay:$103,300",% High Meaning:70%
Rank:134,Major:Information Technology Management,Degree Type:Bachelors,"Early Career Pay:$59,300","Mid-Career Pay:$103,300",% High Meaning:48%
Rank:136,Major:Finance & Real Estate,Degree Type:Bachelors,"Early Career Pay:$58,600","Mid-Career Pay:$103,200",% High Meaning:45%
Rank:137,Major:Construction Engineering,Degree Type:Bachelors,"Early Career Pay:$64,500","Mid-Career Pay:$103,100",% High Meaning:57%
Rank:138,Major:Business Logistics & Transportation,Degree Type:Bachelors,"Early Career Pay:$54,900","Mid-Career Pay:$102,900",% High Meaning:48%
Rank:138,Major:Construction Management,Degree Type:Bachelors,"Early Career Pay:$59,700","Mid-Career Pay:$102,900",% High Meaning:58%
Rank:140,Major:Aeronautical Science,Degree Type:Bachelors,"Early Career Pay:$55,300","Mid-Career Pay:$102,800",% High Meaning:57%
Rank:141,Major:Computer Management Information Systems (CMIS),Degree Type:Bachelors,"Early Career Pay:$54,300","Mid-Career Pay:$102,600",% High Meaning:46%
Rank:142,Major:Software Applications & Programming,Degree Type:Bachelors,"Early Career Pay:$56,400","Mid-Career Pay:$102,500",% High Meaning:37%
Rank:143,Major:Financial Economics,Degree Type:Bachelors,"Early Career Pay:$60,600","Mid-Career Pay:$102,300",% High Meaning:44%
Rank:144,Major:Marketing & International Business,Degree Type:Bachelors,"Early Career Pay:$49,700","Mid-Career Pay:$102,200",% High Meaning:35%
Rank:145,Major:Informatics,Degree Type:Bachelors,"Early Career Pay:$66,200","Mid-Career Pay:$101,900",% High Meaning:41%
Rank:145,Major:Medicine,Degree Type:Bachelors,"Early Career Pay:$75,500","Mid-Career Pay:$101,900",% High Meaning:84%
Rank:147,Major:Civil & Environmental Engineering,Degree Type:Bachelors,"Early Career Pay:$61,800","Mid-Career Pay:$101,800",% High Meaning:67%
Rank:148,Major:Atmospheric Science,Degree Type:Bachelors,"Early Career Pay:$47,300","Mid-Career Pay:$101,600",% High Meaning:55%
Rank:149,Major:Environmental Engineering,Degree Type:Bachelors,"Early Career Pay:$59,500","Mid-Career Pay:$101,300",% High Meaning:64%
Rank:150,Major:European Studies,Degree Type:Bachelors,"Early Career Pay:$45,200","Mid-Career Pay:$101,200",% High Meaning:47%
Rank:150,Major:Nuclear Engineering Technology (NET),Degree Type:Bachelors,"Early Career Pay:$78,200","Mid-Career Pay:$101,200",% High Meaning:60%
Rank:152,Major:Industrial Management,Degree Type:Bachelors,"Early Career Pay:$55,100","Mid-Career Pay:$101,000",% High Meaning:55%
Rank:152,Major:Information Systems (IS),Degree Type:Bachelors,"Early Career Pay:$59,900","Mid-Career Pay:$101,000",% High Meaning:45%
Rank:154,Major:Sales & Business Marketing,Degree Type:Bachelors,"Early Career Pay:$52,600","Mid-Career Pay:$100,800",% High Meaning:49%
Rank:155,Major:Business Computer Information Systems (BCIS),Degree Type:Bachelors,"Early Career Pay:$60,200","Mid-Career Pay:$100,700",% High Meaning:36%
Rank:155,Major:Organic Chemistry,Degree Type:Bachelors,"Early Career Pay:$46,000","Mid-Career Pay:$100,700",% High Meaning:-
Rank:157,Major:Business Operations,Degree Type:Bachelors,"Early Career Pay:$60,500","Mid-Career Pay:$100,600",% High Meaning:-
Rank:158,Major:Business Computer Science,Degree Type:Bachelors,"Early Career Pay:$50,200","Mid-Career Pay:$100,500",% High Meaning:-
Rank:159,Major:Business Finance,Degree Type:Bachelors,"Early Career Pay:$54,600","Mid-Career Pay:$100,300",% High Meaning:43%
