occupation_name,url,2019 Median Pay,Typical Entry-Level Education,Work Experience in a Related Occupation,On-the-job Training,"Number of Jobs, 2019","Job Outlook, 2019-29","Employment Change, 2019-29"
"     Pump operators, except wellhead pumpers",https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#537072,nan,nan,nan,nan,nan,nan,nan
     Farm labor contractors,https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#131074,nan,nan,nan,nan,nan,nan,nan
     Fast food and counter workers,https://www.bls.gov/ooh/food-preparation-and-serving/food-and-beverage-serving-and-related-workers.htm,nan,nan,nan,nan,nan,nan,nan
     Forest fire inspectors and prevention specialists,https://www.bls.gov/ooh/protective-service/fire-inspectors-and-investigators.htm,nan,nan,nan,nan,nan,nan,nan
     Landscaping and groundskeeping workers,https://www.bls.gov/ooh/building-and-grounds-cleaning/grounds-maintenance-workers.htm,nan,nan,nan,nan,nan,nan,nan
     Industrial engineers,https://www.bls.gov/ooh/architecture-and-engineering/industrial-engineers.htm,nan,nan,nan,nan,nan,nan,nan
     Paralegals and legal assistants,https://www.bls.gov/ooh/legal/paralegals-and-legal-assistants.htm,nan,nan,nan,nan,nan,nan,nan
     Amusement and recreation attendants,https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#393091,nan,nan,nan,nan,nan,nan,nan
     Self-enrichment teachers,https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#253021,nan,nan,nan,nan,nan,nan,nan
     Recreation workers,https://www.bls.gov/ooh/personal-care-and-service/recreation-workers.htm,nan,nan,nan,nan,nan,nan,nan
     Computer and information systems managers,https://www.bls.gov/ooh/management/computer-and-information-systems-managers.htm,nan,nan,nan,nan,nan,nan,nan
     Medical secretaries and administrative assistants,https://www.bls.gov/ooh/office-and-administrative-support/secretaries-and-administrative-assistants.htm,nan,nan,nan,nan,nan,nan,nan
     Rehabilitation counselors,https://www.bls.gov/ooh/community-and-social-service/rehabilitation-counselors.htm,nan,nan,nan,nan,nan,nan,nan
     Database administrators and architects,https://www.bls.gov/ooh/computer-and-information-technology/database-administrators.htm,nan,nan,nan,nan,nan,nan,nan
     Producers and directors,https://www.bls.gov/ooh/entertainment-and-sports/producers-and-directors.htm,nan,nan,nan,nan,nan,nan,nan
"     Roustabouts, oil and gas",https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#475071,nan,nan,nan,nan,nan,nan,nan
     Operations research analysts,https://www.bls.gov/ooh/math/operations-research-analysts.htm,nan,nan,nan,nan,nan,nan,nan
