url,occupation_name,2019 Median Pay,Typical Entry-Level Education,Work Experience in a Related Occupation,On-the-job Training,"Number of Jobs, 2019","Job Outlook, 2019-29","Employment Change, 2019-29"
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#511011,     First-line supervisors of production and operating workers,,,,,,,
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#518093,"     Petroleum pump system operators, refinery operators, and gaugers",,,,,,,
https://www.bls.gov/ooh/education-training-and-library/postsecondary-teachers.htm,"     Social sciences teachers, postsecondary, all other","$79,540 per year",See How to Become One,See How to Become One,None,1329900,9% (Much faster than average),121500
https://www.bls.gov/ooh/transportation-and-material-moving/water-transportation-occupations.htm,"     Captains, mates, and pilots of water vessels","$57,330 per year  $27.56 per hour",See How to Become One,See How to Become One,See How to Become One,81900,0% (Little or no change),200
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#291298,"     Acupuncturists and healthcare diagnosing or treating practitioners, all other",,,,,,,
https://www.bls.gov/ooh/healthcare/physicians-and-surgeons.htm,     Anesthesiologists,"This wage is equal to or greater than $208,000 per year or $100.00 per hour.",Doctoral or professional degree,None,Internship/residency,752400,4% (As fast as average),27300
https://www.bls.gov/ooh/construction-and-extraction/drywall-and-ceiling-tile-installers-and-tapers.htm,     Drywall and ceiling tile installers,"$47,360 per year  $22.77 per hour",No formal educational credential,None,Moderate-term on-the-job training,146900,0% (Little or no change),-300
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#516011,     Laundry and dry-cleaning workers,,,,,,,
https://www.bls.gov/ooh/management/property-real-estate-and-community-association-managers.htm,"     Property, real estate, and community association managers","$58,760 per year  $28.25 per hour",High school diploma or equivalent,Less than 5 years,None,367900,0% (Little or no change),800
https://www.bls.gov/ooh/construction-and-extraction/painters-construction-and-maintenance.htm,"     Painters, construction and maintenance","$40,280 per year  $19.37 per hour",No formal educational credential,None,Moderate-term on-the-job training,379500,0% (Little or no change),900
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#359021,     Dishwashers,,,,,,,
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#212021,"     Directors, religious activities and education",,,,,,,
https://www.bls.gov/ooh/transportation-and-material-moving/airline-and-commercial-pilots.htm,"     Airline pilots, copilots, and flight engineers","$121,430 per year",See How to Become One,See How to Become One,Moderate-term on-the-job training,127100,5% (Faster than average),6100
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#513023,     Slaughterers and meat packers,,,,,,,
https://www.bls.gov/ooh/sales/real-estate-brokers-and-sales-agents.htm,     Real estate brokers,"$50,730 per year  $24.39 per hour",High school diploma or equivalent,See How to Become One,See How to Become One,477200,2% (Slower than average),11300
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#419011,     Demonstrators and product promoters,,,,,,,
https://www.bls.gov/ooh/architecture-and-engineering/aerospace-engineers.htm,     Aerospace engineers,"$116,500 per year  $56.01 per hour",Bachelor's degree,None,None,66400,3% (As fast as average),1900
