url,occupation_name,2019 Median Pay,Typical Entry-Level Education,Work Experience in a Related Occupation,On-the-job Training,"Number of Jobs, 2019","Job Outlook, 2019-29","Employment Change, 2019-29"
https://www.bls.gov/ooh/healthcare/radiologic-technologists.htm,     Radiologic technologists and technicians,"$62,280 per year  $29.94 per hour",Associate's degree,See How to Become One,None,250700,7% (Faster than average),16800
https://www.bls.gov/ooh/management/advertising-promotions-and-marketing-managers.htm,     Marketing managers,"$135,900 per year  $65.34 per hour",Bachelor's degree,See How to Become One,None,314900,6% (Faster than average),18800
https://www.bls.gov/ooh/food-preparation-and-serving/food-and-beverage-serving-and-related-workers.htm,"     Food servers, nonrestaurant","$23,000 per year  $11.06 per hour",No formal educational credential,None,Short-term on-the-job training,5324100,10% (Much faster than average),552400
https://www.bls.gov/ooh/media-and-communication/public-relations-specialists.htm,     Public relations specialists,"$61,150 per year  $29.40 per hour",Bachelor's degree,None,None,274600,7% (Faster than average),19700
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#519198,     Helpers--production workers,,,,,,,
https://www.bls.gov/ooh/healthcare/dental-assistants.htm,     Dental assistants,"$40,080 per year  $19.27 per hour",Postsecondary nondegree award,None,None,354600,7% (Faster than average),23400
https://www.bls.gov/ooh/healthcare/clinical-laboratory-technologists-and-technicians.htm,     Clinical laboratory technologists and technicians,"$53,120 per year  $25.54 per hour",Bachelor's degree,None,None,337800,7% (Faster than average),24700
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#253097,"     Tutors and teachers and instructors, all other",,,,,,,
https://www.bls.gov/ooh/food-preparation-and-serving/food-and-beverage-serving-and-related-workers.htm,     Dining room and cafeteria attendants and bartender helpers,"$23,000 per year  $11.06 per hour",No formal educational credential,None,Short-term on-the-job training,5324100,10% (Much faster than average),552400
https://www.bls.gov/ooh/computer-and-information-technology/computer-systems-analysts.htm,     Computer systems analysts,"$90,920 per year  $43.71 per hour",Bachelor's degree,None,None,632400,7% (Faster than average),46600
https://www.bls.gov/ooh/office-and-administrative-support/bill-and-account-collectors.htm,     Bill and account collectors,"$37,000 per year  $17.79 per hour",High school diploma or equivalent,None,Moderate-term on-the-job training,238900,-6% (Decline),-15400
https://www.bls.gov/ooh/office-and-administrative-support/bookkeeping-accounting-and-auditing-clerks.htm,"     Bookkeeping, accounting, and auditing clerks","$41,230 per year  $19.82 per hour","Some college, no degree",None,Moderate-term on-the-job training,1673600,-6% (Decline),-95400
https://www.bls.gov/ooh/management/farmers-ranchers-and-other-agricultural-managers.htm,"     Farmers, ranchers, and other agricultural managers","$71,160 per year  $34.21 per hour",High school diploma or equivalent,5 years or more,None,952300,-6% (Decline),-61600
https://www.bls.gov/ooh/transportation-and-material-moving/railroad-occupations.htm,"     Railroad brake, signal, and switch operators and locomotive firers","$65,020 per year  $31.26 per hour",High school diploma or equivalent,See How to Become One,Moderate-term on-the-job training,77700,-3% (Decline),-2600
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#534099,"     Rail transportation workers, all other",,,,,,,
https://www.bls.gov/ooh/healthcare/dentists.htm,"     Dentists, general","$159,200 per year  $76.54 per hour",Doctoral or professional degree,None,See How to Become One,151600,3% (As fast as average),4000
https://www.bls.gov/ooh/construction-and-extraction/construction-and-building-inspectors.htm,     Construction and building inspectors,"$60,710 per year  $29.19 per hour",High school diploma or equivalent,5 years or more,Moderate-term on-the-job training,120800,3% (As fast as average),3900
https://www.bls.gov/ooh/installation-maintenance-and-repair/automotive-body-and-glass-repairers.htm,     Automotive body and related repairers,"$42,350 per year  $20.36 per hour",High school diploma or equivalent,None,See How to Become One,179700,2% (Slower than average),4300
https://www.bls.gov/ooh/education-training-and-library/special-education-teachers.htm,"     Special education teachers, secondary school","$61,030 per year",Bachelor's degree,None,None,443700,3% (As fast as average),14300
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#393031,"     Ushers, lobby attendants, and ticket takers",,,,,,,
https://www.bls.gov/ooh/office-and-administrative-support/information-clerks.htm,"     Interviewers, except eligibility and loan","$35,390 per year  $17.01 per hour",See How to Become One,None,See How to Become One,1465800,-3% (Decline),-38000
https://www.bls.gov/ooh/office-and-administrative-support/information-clerks.htm,"     Information and record clerks, all other","$35,390 per year  $17.01 per hour",See How to Become One,None,See How to Become One,1465800,-3% (Decline),-38000
https://www.bls.gov/ooh/management/architectural-and-engineering-managers.htm,     Architectural and engineering managers,"$144,830 per year  $69.63 per hour",Bachelor's degree,5 years or more,None,198100,3% (As fast as average),5100
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#194099,"     Life, physical, and social science technicians, all other",,,,,,,
https://www.bls.gov/ooh/construction-and-extraction/construction-equipment-operators.htm,"     Paving, surfacing, and tamping equipment operators","$48,160 per year  $23.16 per hour",High school diploma or equivalent,None,Moderate-term on-the-job training,468300,4% (As fast as average),19200
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#396011,     Baggage porters and bellhops,,,,,,,
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#452041,"     Graders and sorters, agricultural products",,,,,,,
https://www.bls.gov/ooh/production/metal-and-plastic-machine-workers.htm,     Metal-refining furnace operators and tenders,"$36,990 per year  $17.78 per hour",See How to Become One,None,Moderate-term on-the-job training,1109400,-7% (Decline),-75800
https://www.bls.gov/ooh/transportation-and-material-moving/water-transportation-occupations.htm,     Motorboat operators,"$57,330 per year  $27.56 per hour",See How to Become One,See How to Become One,See How to Become One,81900,0% (Little or no change),200
https://www.bls.gov/ooh/transportation-and-material-moving/hand-laborers-and-material-movers.htm,     Machine feeders and offbearers,"$28,710 per year  $13.80 per hour",No formal educational credential,None,Short-term on-the-job training,4231600,3% (As fast as average),121300
https://www.bls.gov/ooh/transportation-and-material-moving/material-moving-machine-operators.htm,     Conveyor operators and tenders,"$36,770 per year  $17.68 per hour",See How to Become One,See How to Become One,See How to Become One,761400,2% (Slower than average),19000
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#499012,"     Control and valve installers and repairers, except mechanical door",,,,,,,
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#519197,     Tire builders,,,,,,,
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#491011,"     First-line supervisors of mechanics, installers, and repairers",,,,,,,
https://www.bls.gov/ooh/life-physical-and-social-science/psychologists.htm,"     Clinical, counseling, and school psychologists","$80,370 per year  $38.64 per hour",See How to Become One,None,Internship/residency,192300,3% (As fast as average),5700
https://www.bls.gov/ooh/education-training-and-library/special-education-teachers.htm,"     Special education teachers, kindergarten and elementary school","$61,030 per year",Bachelor's degree,None,None,443700,3% (As fast as average),14300
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#259044,"     Teaching assistants, postsecondary",,,,,,,
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#499092,     Commercial divers,,,,,,,
https://www.bls.gov/ooh/life-physical-and-social-science/chemists-and-materials-scientists.htm,     Chemists,"$78,790 per year  $37.88 per hour",Bachelor's degree,None,None,93700,5% (Faster than average),4300
https://www.bls.gov/ooh/life-physical-and-social-science/biological-technicians.htm,     Biological technicians,"$45,860 per year  $22.05 per hour",Bachelor's degree,None,None,87500,5% (Faster than average),4300
https://www.bls.gov/ooh/healthcare/nursing-assistants.htm,     Orderlies,"$29,640 per year  $14.25 per hour",See How to Become One,None,See How to Become One,1579100,8% (Much faster than average),119500
https://www.bls.gov/ooh/installation-maintenance-and-repair/medical-equipment-repairers.htm,     Medical equipment repairers,"$49,280 per year  $23.69 per hour",Associate's degree,None,Moderate-term on-the-job training,53900,5% (Faster than average),2800
